m,r,rho,T,P,l,eps,kappa,nabla_ad,nabla,transport
2e-08,0.000798112474240956,55.47733024690424,20179346.930975895,1.5003495852481418e+17,4.789853864427271e-06,460.8947633776179,0.7813017481188965,0.3967122238330005,0.3967122238330005,convective
2.0000000000000043e-08,0.0007981124742409565,55.47733024690424,20179346.930975895,1.5003495852481418e+17,4.7898538644272815e-06,460.8947633776179,0.7813017481188965,0.3967122238330005,0.3967122238330005,convective
2.0000000000000474e-08,0.0007981124742409623,55.47733024690424,20179346.930975895,1.5003495852481418e+17,4.789853864427385e-06,460.8947633776179,0.7813017481188965,0.3967122238330005,0.3967122238330005,convective
2.000000000000479e-08,0.0007981124742410196,55.47733024690424,20179346.930975895,1.5003495852481418e+17,4.789853864428419e-06,460.8947633776179,0.7813017481188965,0.3967122238330005,0.3967122238330005,convective
2.000000000004798e-08,0.0007981124742415941,55.47733024690424,20179346.930975895,1.5003495852481418e+17,4.789853864438761e-06,460.8947633776179,0.7813017481188965,0.3967122238330005,0.3967122238330005,convective
2.000000000047985e-08,0.0007981124742473389,55.47733024690422,20179346.930975895,1.5003495852481414e+17,4.789853864542185e-06,460.8947633776178,0.7813017481188965,0.3967122238330005,0.3967122238330005,convective
2.000000000479857e-08,0.0007981124743047862,55.47733024690419,20179346.930975884,1.5003495852481395e+17,4.7898538655764215e-06,460.8947633776117,0.7813017481188981,0.3967122238330005,0.3967122238330005,convective
2.0000000047985773e-08,0.0007981124748792601,55.47733024690376,20179346.930975784,1.5003495852481203e+17,4.789853875918783e-06,460.8947633775732,0.7813017481189014,0.3967122238330007,0.3967122238330007,convective
2.00000004798578e-08,0.0007981124806239981,55.4773302468995,20179346.930974767,1.5003495852479293e+17,4.789853979342395e-06,460.8947633771492,0.781301748118944,0.3967122238330007,0.3967122238330007,convective
2.000000479857806e-08,0.0007981125380713737,55.47733024685703,20179346.930964578,1.50034958524602e+17,4.789855013578516e-06,460.89476337292655,0.7813017481193668,0.3967122238330033,0.3967122238330033,convective
2.0000047985780632e-08,0.0007981131125446757,55.477330246432246,20179346.930862695,1.5003495852269254e+17,4.789865355939725e-06,460.89476333069854,0.7813017481235917,0.3967122238330275,0.3967122238330275,convective
2.0000479857806373e-08,0.0007981188572322101,55.477330242184394,20179346.929843884,1.5003495850359824e+17,4.789968779551768e-06,460.8947629084259,0.7813017481658479,0.3967122238332689,0.3967122238332689,convective
2.000479857806379e-08,0.0007981762995597436,55.477330199707545,20179346.919656157,1.500349583126626e+17,4.7910030156669825e-06,460.89475868587397,0.7813017485883851,0.39671222383568255,0.39671222383568255,convective
2.004798578063795e-08,0.000798750268658499,55.47732977510708,20179346.817819193,1.500349564040613e+17,4.801345376298121e-06,460.89471647705034,0.7813017528120847,0.3967122238598096,0.3967122238598096,convective
2.0479857806379528e-08,0.0008044451370930916,55.47732554572302,20179345.803435843,1.5003493739275914e+17,4.904768930646077e-06,460.89429604122637,0.7813017948837597,0.396712224100137,0.396712224100137,convective
2.4798578063795313e-08,0.0008574257452736363,55.47728475881174,20179336.021025714,1.5003475405351296e+17,5.938999405496016e-06,460.89024150294904,0.7813022006106979,0.39671222641778064,0.39671222641778064,convective
3.376356582903625e-08,0.0009503214744297838,55.47720696625365,20179317.363104083,1.500344043722436e+17,8.085872445642224e-06,460.8825084076425,0.7813029744521854,0.3967122308382048,0.3967122308382048,convective
4.272855359427718e-08,0.0010279232214070427,55.47713585201616,20179300.30691609,1.5003408471062768e+17,1.0232711103423403e-05,460.87543928947804,0.7813036818629815,0.39671223487914553,0.39671223487914553,convective
5.656362502187169e-08,0.0011286706331443213,55.47703520381692,20179276.16722759,1.500336322930204e+17,1.3545723317505563e-05,460.86543452086335,0.7813046830667681,0.3967122405983023,0.3967122405983023,convective
7.267795310266138e-08,0.0012270320774504448,55.4769278670197,20179250.42331389,1.500331498104991e+17,1.7404450683704452e-05,460.85476511055,0.7813057508097853,0.3967122466975276,0.3967122466975276,convective
9.501333815738388e-08,0.0013416836273177175,55.47679144074141,20179217.702484358,1.500325365706684e+17,2.2752727725790745e-05,460.8412045085758,0.7813071079291668,0.39671225444971353,0.39671225444971353,convective
1.2286583601242817e-07,0.001461725786291723,55.47663554962473,20179180.31312332,1.5003183583707734e+17,2.9421884108606625e-05,460.8257095900566,0.7813086586859307,0.3967122633079567,0.3967122633079567,convective
1.599224948764616e-07,0.0015959735689194826,55.47644539734461,20179134.706419148,1.5003098110065053e+17,3.829460413603798e-05,460.8068099267593,0.7813105502740181,0.39671227411303384,0.39671227411303384,convective
2.0731652009762077e-07,0.0017402067222700717,55.47622249597947,20179081.245004408,1.5002997915921434e+17,4.964196190417197e-05,460.7846561958132,0.7813127676585021,0.3967122867790256,0.3967122867790256,convective
2.6940923730431693e-07,0.0018990109182363615,55.475954784958624,20179017.0361911,1.5002877580192512e+17,6.450777976630708e-05,460.75805025834006,0.7813154308253624,0.39671230199125546,0.39671230199125546,convective
3.49570223442852e-07,0.002071263167214798,55.475637989113395,20178941.054549195,1.5002735181398493e+17,8.369816907801585e-05,460.7265680069855,0.7813185823172536,0.39671231999265577,0.39671231999265577,convective
